dataset,display_route_type,run,model,display_model,medication,prompt,ground_truth,normalized_ground_truth,response,normalized_response
iv_push,Intravenous push,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Lacosamide,Lacosamide 200 mg (20 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Atropine,Atropine 1 mg (1mL) of the 1 mg/ml vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Haloperidol,Haloperidol 2 mg (0.4 mL) of the 5 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Furosemide,Furosemide 20 mg (2 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Hydralazine,Hydralazine 10 mg (0.5 mL) of the 20 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution once daily,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Naloxone,Naloxone 0.04 mg (0.1 mL) of the 0.4 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution twice daily,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution daily,intravenous push,intravenous push,By mouth,by mouth
po_solid,Oral solid,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Zolpidem,Zolpidem 3.5 mg 1 sublingual tablet once daily at bedtime,by mouth,by mouth,sublingual,sublingual
po_liquid,Oral liquid,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Vancomycin,Vancomycin 125 mg (5 mL) of the 25mg/mL solution four times daily,by mouth,by mouth,Intravenous intermittent,intravenous intermittent
iv_intermit,Intravenous intermittent,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Amiodarone,Amiodarone 150 mg in 100 mL of D5W over 10 minutes once,Intravenous intermittent,intravenous intermittent,Intravenous push,intravenous push
iv_intermit,Intravenous intermittent,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Ceftazidime,Ceftazidime 1000 mg in 100 mL of 0.9% sodium chloride over 3 hours every 8 hours,Intravenous intermittent,intravenous intermittent,Intravenous continuous,intravenous continuous
iv_push,Intravenous push,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Lacosamide,Lacosamide 200 mg (20 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Atropine,Atropine 1 mg (1mL) of the 1 mg/ml vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Haloperidol,Haloperidol 2 mg (0.4 mL) of the 5 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Furosemide,Furosemide 20 mg (2 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Hydralazine,Hydralazine 10 mg (0.5 mL) of the 20 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution once daily,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Naloxone,Naloxone 0.04 mg (0.1 mL) of the 0.4 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution twice daily,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,3,google/gemma-3-27b-it,Gemma-3-27B-IT,Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution daily,intravenous push,intravenous push,By mouth,by mouth
iv_intermit,Intravenous intermittent,1,Qwen/Qwen3-32B,Qwen3-32B,Amiodarone,Amiodarone 150 mg in 100 mL of D5W over 10 minutes once,Intravenous intermittent,intravenous intermittent,intravenous push,intravenous push
iv_intermit,Intravenous intermittent,1,Qwen/Qwen3-32B,Qwen3-32B,Ceftazidime,Ceftazidime 1000 mg in 100 mL of 0.9% sodium chloride over 3 hours every 8 hours,Intravenous intermittent,intravenous intermittent,intravenous continuous,intravenous continuous
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Lacosamide,Lacosamide 200 mg (20 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Lorazepam,Lorazepam 4 mg (2 mL) of the 2 mg/ml vial solution every 5 minutes,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Atropine,Atropine 1 mg (1mL) of the 1 mg/ml vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Haloperidol,Haloperidol 2 mg (0.4 mL) of the 5 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Furosemide,Furosemide 20 mg (2 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Hydralazine,Hydralazine 10 mg (0.5 mL) of the 20 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution once daily,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Naloxone,Naloxone 0.04 mg (0.1 mL) of the 0.4 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Ondansetron,Ondansetron 4 mg (2 mL) of the 2 mg/mL vial solution every 6 hours,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Fentanyl,Fentanyl 50 mcg (1 mL) of the 50 mcg/mL vial solution every 4 hours,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Ketorolac,Ketorolac 15 mg (1 mL) of the 15 mg/mL vial solution every 8 hours,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution twice daily,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,Qwen/Qwen3-32B,Qwen3-32B,Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution daily,intravenous push,intravenous push,by mouth,by mouth
iv_intermit,Intravenous intermittent,2,Qwen/Qwen3-32B,Qwen3-32B,Amiodarone,Amiodarone 150 mg in 100 mL of D5W over 10 minutes once,Intravenous intermittent,intravenous intermittent,intravenous push,intravenous push
iv_intermit,Intravenous intermittent,2,Qwen/Qwen3-32B,Qwen3-32B,Ceftazidime,Ceftazidime 1000 mg in 100 mL of 0.9% sodium chloride over 3 hours every 8 hours,Intravenous intermittent,intravenous intermittent,intravenous continuous,intravenous continuous
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Lacosamide,Lacosamide 200 mg (20 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Lorazepam,Lorazepam 4 mg (2 mL) of the 2 mg/ml vial solution every 5 minutes,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Atropine,Atropine 1 mg (1mL) of the 1 mg/ml vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Haloperidol,Haloperidol 2 mg (0.4 mL) of the 5 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Furosemide,Furosemide 20 mg (2 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Hydralazine,Hydralazine 10 mg (0.5 mL) of the 20 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution once daily,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Naloxone,Naloxone 0.04 mg (0.1 mL) of the 0.4 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Ondansetron,Ondansetron 4 mg (2 mL) of the 2 mg/mL vial solution every 6 hours,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Fentanyl,Fentanyl 50 mcg (1 mL) of the 50 mcg/mL vial solution every 4 hours,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Ketorolac,Ketorolac 15 mg (1 mL) of the 15 mg/mL vial solution every 8 hours,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution twice daily,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,Qwen/Qwen3-32B,Qwen3-32B,Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution daily,intravenous push,intravenous push,by mouth,by mouth
iv_intermit,Intravenous intermittent,3,Qwen/Qwen3-32B,Qwen3-32B,Amiodarone,Amiodarone 150 mg in 100 mL of D5W over 10 minutes once,Intravenous intermittent,intravenous intermittent,intravenous push,intravenous push
iv_intermit,Intravenous intermittent,3,Qwen/Qwen3-32B,Qwen3-32B,Ceftazidime,Ceftazidime 1000 mg in 100 mL of 0.9% sodium chloride over 3 hours every 8 hours,Intravenous intermittent,intravenous intermittent,intravenous continuous,intravenous continuous
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Lacosamide,Lacosamide 200 mg (20 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Lorazepam,Lorazepam 4 mg (2 mL) of the 2 mg/ml vial solution every 5 minutes,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Atropine,Atropine 1 mg (1mL) of the 1 mg/ml vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Haloperidol,Haloperidol 2 mg (0.4 mL) of the 5 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Furosemide,Furosemide 20 mg (2 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Hydralazine,Hydralazine 10 mg (0.5 mL) of the 20 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution once daily,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Naloxone,Naloxone 0.04 mg (0.1 mL) of the 0.4 mg/mL vial solution once,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Ondansetron,Ondansetron 4 mg (2 mL) of the 2 mg/mL vial solution every 6 hours,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Fentanyl,Fentanyl 50 mcg (1 mL) of the 50 mcg/mL vial solution every 4 hours,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Ketorolac,Ketorolac 15 mg (1 mL) of the 15 mg/mL vial solution every 8 hours,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution twice daily,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,3,Qwen/Qwen3-32B,Qwen3-32B,Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution daily,intravenous push,intravenous push,by mouth,by mouth
