order,communication_type,route,medication_category,response_p1,response_p2,llm_appropriate,llm_medmatch_appropriate
Amoxicillin 500mg BID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amoxicillin 500 mg BID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amoxicillin 500mg BID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amoxicillin 500 mg PO BID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
PRN oxy 5mg q4h,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Bactrim DS BID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amlodipine 10 mg daily,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Bactrim 800-160mg Q12h,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Bactrim DS q12h,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amlodipine 10mg QD,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Prenatal vitamin,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Sertraline 25mg,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Metoprolol tartrate 25 mg PO q6h,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Metoprolol 25mg q6h,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Metoprolol tartrate 25mg Q6h,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Prenatal vitamin QD,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Sertraline 25 mg PO daily,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Prenatal vitamin QD,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Clopidogrel 75mg QD,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Clopidogrel 75,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Sertraline 25mg QD,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Sertraline 25mg daily,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Prenatal vitamin,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Bactrim DS q12h,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Clopidogrel 75 mg QD,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Metoprolol tartrate 25mg q6h,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxy 10mg q12h,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Oxycodone 10 mg PO q12h,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Clopidogrel 75 mg PO daily,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxycodone 10mg Q12h,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxycodone 10 mg Q12h,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 1g q24,verbal,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefepime 1g every 24 hours,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 1 gm daily,verbal,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefepime 2 q12,verbal,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefepime 2g every 12 hours,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2g q12,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2 gm q12h,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2g q8,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 1 q24,verbal,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefepime 2 q8,verbal,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Liter bolus of normal saline,verbal,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
1 liter NS bolus over 30 minutes,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Meropenem 1gm,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
1 L normal saline bolus,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Mero 1g q12,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Meropenem 1 gram twice daily,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 1000 mg intravenous every 24 hours,formal_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 1000 mg/50ml solution- administer 1000mg intravenously every 24 hours,formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefepime 2g every 8 hours,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
1 liter of normal saline over 30 minutes,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2 gm q8h,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2000 mg intravenous every 12 hours,formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Meropenem 1 gm twice daily,verbal,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Cefepime 1000 mg/50 mL, infuse over 30 minutes intravenously once every 24 hours at 0900",formal_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2000mg in 100mL 0.9% sodium chloride administer 2000mg intravenously every 12 hours,formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefepime 1000mg in 100mL 0.9% sodium chloride administer 1000mg intravenously every 24 hours,formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefepime 2000 mg/100ml solution- administer 2000mg intravenously every 12 hours,formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"1000 mL 0.9% sodium chloride bolus, infused intravenously over 30 minutes",formal_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Cefepime 2000 mg/100 mL, infuse over 30 minutes intravenously once every 12 hours at 0900 and 2100",formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
0.9% sodium chloride administer 1000mL over 30 minutes intravenously,formal_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2000 mg/100ml solution- administer 2000mg intravenously every 8 hours,formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Cefepime 2000 mg/100 mL, infuse over 30 minutes intravenously every 8 hours at 0900, 1700, 0100",formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Sodium Chloride 0.9% 1000ml solution- administer 100 ml/hr intravenously over 30 minutes,formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"0.9% sodium chloride intravenous solution, administer 1000 mL bolus over 30 minutes",formal_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Ceftriaxone 2000 mg/50 mL, infuse over 30 minutes intravenously once every 24 hours at 0900",formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefepime 2000 mg intravenous every 8 hours,formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefepime 2000mg in 100mL 0.9% sodium chloride administer 2000mg intravenously every 8 hours,formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Meropenem 1000mg/100mL sodium chloride administer 1000mg intravenously twice daily over 30 minutes,formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Meropenem 500mg reconstituted solution- administer 1000mg intravenously twice daily,formal_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Meropenem 1000 mg intravenous twice daily,formal_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 1000mg q24h,brief_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefepime 1g Q24,brief_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefepime 1g q24h,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 1 gm IV q24h,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2g q12h,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2000mg q8h,brief_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Meropenem 1000 mg/50 mL, infuse intravenously over 3 hours every 12 hours at 0900 and 2100",formal_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2g q12h,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2 gm IV q12h,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2g q8h,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2g q8h,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2000mg q12h,brief_written,iv_intermittent,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Meropenem 1g BID,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
1 L NS bolus over 30 minutes,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
NS 1L IV bolus,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
1L NS over 30 min,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Meropenem 1gm BID,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefepime 2 gm IV q8h,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
1L NS bolus,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Stress dose steroids,verbal,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Meropenem 1 gm IV q12h,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydrocortisone 50 q6h,verbal,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Hydrocortisone 50mg IV every 6 hours,verbal,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Cefazolin 2000 mg, reconstitute with 5 mL sterile water for injection, then infusion intravenous push over 5 minutes every 8 hours",formal_written,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefazolin 2000mg administer 2000mg IV push every 8 hours,formal_written,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Hydrocortisone 50mg administer 50mg as an IV push every 6 hours,formal_written,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Hydrocortisone 50 mg intravenous push over 1 minute every 6 hours,formal_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydrocortisone 50 mg intravenous every 6 hours,formal_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydrocortisone 100 mg reconstituted solution- administer 50mg intravenously every 6 hours,formal_written,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Ceftriaxone 2000mg administer 2000mg IV push every 24 hours,formal_written,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Hydrocortisone 50 mg IV q6h,brief_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydrocortisone 50mg q6h,brief_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Rocephin 2gm,verbal,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Ceftriaxone 2g daily,verbal,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Ceftriaxone 2 gm,verbal,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydrocort 50q6,verbal,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Ancef 2g,verbal,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Meropenem 1g BID,brief_written,iv_intermittent,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Ceftriaxone 2000 mg reconstituted vial- administer 2000mg intravenously every 24 hours,formal_written,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefazolin 2q8,verbal,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Ceftriaxone 2000 mg intravenous every 24 hours,formal_written,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefazolin 2 gm q8,verbal,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefazolin 2000 mg intravenous every 8 hours,formal_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydrocortisone 50mg IV Q6h,brief_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Ceftriaxone 2gm q24h,brief_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Ceftriaxone 2 g q24,brief_written,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefazolin 2000 mg/100ml 4% dextrose solution- administer 2000 mg intravenously every 8 hours,formal_written,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Ceftriaxone 2g q24h,brief_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Ceftriaxone 2 gm q24h,brief_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydrocortisone 50mg q6h,brief_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefazolin 2gm q8h,brief_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Propofol infusion at 5 mcg/kg/min to RASS goal,verbal,iv_continuous_titratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Propofol at 5, goal RASS 0 to -2",verbal,iv_continuous_titratable,Intravenous,"{""answer"": ""YES""}","{""answer"":""NO""}",True,False
Prop 5 for RASS 0 to -2,verbal,iv_continuous_titratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Norepinephrine 8 mg/250ml solution- administer 5 mcg/min intravenously as a continuous infusion and titrate as instructed,formal_written,iv_continuous_titratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Ceftriaxone 2 q24,verbal,iv_push,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefazolin 2gm q8h,brief_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Propofol drip,verbal,iv_continuous_titratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefazolin 2 g every 8 hours,verbal,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Propofol 1000mg/100mL administer propofol intravenously as a continuous infusion starting at 5mcg/kg/min and titrated to a Richmond Agitation and Sedation Scale goal of 0 to -2,formal_written,iv_continuous_titratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Propofol 1000 mg in100 mL continuous intravenous infusion, administer at 5 mcg/kg/min and titrate to RASS 0 to -2",formal_written,iv_continuous_titratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cefazolin 2g q8h,brief_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Propofol 1000mg/100ml solution- administer 5 mcg/kg/min intravenously as a continuous infusion and titrate to RASS 0 to -2,formal_written,iv_continuous_titratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Propofol 5mcg/kg/min titrated to RASS 0 to -2,brief_written,iv_continuous_titratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Vaso .04,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Propofol 5 mcg/kg/min, goal RASS 0 to -2",brief_written,iv_continuous_titratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cefazolin 2 gm IV q8h,brief_written,iv_push,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Fent 50,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Vasopressin drip,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Vasopressin drip at 0.04 units/min,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Fentanyl infusion at 50,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Fentanyl infusion at 50 mcg/hr,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Fentanyl drip at 50,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Norepinephrine 8 mg/250 mL 0.9% NaCl, continuous intravenous infusion starting at 5 mcg/min and titrating by 5 mcg/min every 5 minutes to maintain MAP &gt; 65 mmHg",formal_written,iv_continuous_titratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""YES""}",True,True
Midazolam 2,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
NS at 100,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Normal saline at 100,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Propofol 1000 mg/100 mL, continuous intravenous infusion starting at 5 mcg/kg/min, titrate by 5 to 10 mcg/kg/min every 5 to 10 minutes to maintain RASS of 0 to -2",formal_written,iv_continuous_titratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""YES""}",True,True
Normal saline infusion at 100 ml/hour,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Versed at 2,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Propofol 5 mcg/kg/min to RASS goal,brief_written,iv_continuous_titratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Normal saline at 100,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Vaso 0.04,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Epinephrine infusion starting at 0.1mcg/kg/min,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"":""NO""}",True,False
Epi at 0.1,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Precedex at 0.2,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Epi 0.1,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Precedex 0.2,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Precedex at 0.2,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Precedex infusion starting at 0.2 mcg/kg/min,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Dopamine infusion at 5 mcg/min,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Midazolam drip at 2,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Midazolam drip starting at 2 mg/hr,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Dopamine at 5,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Milrinone at 0.125,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Milrinone infusion at 0.125 mcg/kg/min,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Dopamine 5,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Milrinone 0.125,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Dopamine at 5,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Milrinone at 0.125,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Dilaudid 0.5,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Epinephrine drip at 0.1,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Dilaudid at 0.5,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Dilaudid drip at 0.5,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
D5 at 200,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Norepi 5,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Norepi drip at 5 mcg/min,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Norepi at 5,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Norepinephrine 8 mg in 250 mL intravenous, administer at 5 mcg/min",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Norepinephrine 8mg/250mL 0.9% sodium chloride- administer norepinephrine at 5mcg/min intravenously,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
D5W drip at 200 ml/hour,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
D5 at 200,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Vasopressin intravenous, administer at 0.04 units/minute",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
D5W at 200/hr,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Vasopressin 20 units/100mL 0.9% sodium chloride- administer 0.04units/min intravenously,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Diluadid drip at 0.5 mg/hr,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Norepinephrine 8 mg/250ml drip starting at 5 mcg/min,verbal,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Fentanyl 2000mcg/100mL 0.9% sodium chloride- administer fentanyl at 50mcg/hr intravenously,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Vasopressin 40 units/100ml in NaCL 0.9% solution- administer 0.04 units/minute intravenously as a continuous infusion,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Fentanyl 2500 mcg/50 mL, continuous intravenous infusion at 50 mcg/h",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Fentanyl 2500 mcg/50 ml solution- administer 50 mcg/hr intravenously as a continuous infusion,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Midazolam continuous intravenous infusion, administer at 2 mg/hr",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Fentanyl continuous intravenous infusion, administer at 50 mcg/hr",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Midazolam 100mg/100ml in 0.9% NaCL solution- administer 2 mg/hr intravenously as a continuous infusion,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Midazolam 100mg/100mL 0.9% sodium chloride - administer midazolam at 2mg/hr intravenously,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Midazolam 100 mg/100 mL, continuous intravenous infusion at 2 mg/h",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
